tag,re_tag,country,country_spa
(JUE),\(JUE\),"Japan, USA, Europe","Japón, USA, Europa"
(JEU),\(JEU\),"Japan, USA, Europe","USA, Japón, Europa"
(UJE),\(UJE\),"Japan, USA, Europe","USA, Japón, Europa"
(UEJ),\(UEJ\),"Japan, USA, Europe","USA, Japón, Europa"
(EUJ),\(EUJ\),"Japan, USA, Europe","USA, Japón, Europa"
(EJU),\(EJU\),"Japan, USA, Europe","USA, Japón, Europa"
(JU),\(JU\),"Japan, USA","Japón, USA"
(UJ),\(UJ\),"Japan, USA","Japón, USA"
(UE),\(UE\),"USA, Europe","USA, Europa"
(EU),\(EU\),"USA, Europe","USA, Europa"
(JE),\(JE\),"Japan, Europe","Japón, Europa"
(EJ),\(EJ\),"Japan, Europe","Japón, Europa"
(UEBK),\(UEBK\),"USA, Europe, Brazil, Korea","USA, Europa, Brazil, Corea"
(UEB),\(UEB\),"USA, Europe, Brazil","USA, Europa, Brazil"
